Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.004380798898637295,2.7090461254119873,78.30951690673828,0.4014717047694013,-6.9936724890286035,-90.29408808856381,12.3931875,6.512568,17.109516,7.384747,-12.168877,-6.6619244,8.913237,-5.14236,2.852011,10.5132885,-12.321628,6.69628,-4.4050226,0.88121736,10.840711,3.4638543,12.597134,-34.48441,60.965412,6.153625,0.9626611,11.065044,0.5587247,-10.567681,30.336458,65.24689,-6.612978,-0.49596167,-14.41822
1,0.004000957123935223,2.708164691925049,78.30915069580078,0.3759610625105179,-6.947228320388195,-90.29947729210505,12.346261,6.544644,17.101091,7.377171,-12.195783,-6.6790247,8.870251,-5.108589,2.8469388,10.484866,-12.304712,6.685568,-4.43054,0.8976149,10.829477,3.487604,12.64608,-34.475002,60.89015,6.170403,0.9908542,11.020653,0.70237315,-10.582409,30.155836,64.93181,-6.689478,-0.5214323,-14.436186
2,-0.0011398819042369723,2.712865114212036,78.31040954589844,0.3511695927010735,-6.907939084582623,-90.30332284170963,12.306088,6.5771823,17.09093,7.373107,-12.225574,-6.697007,8.838379,-5.0754504,2.8395388,10.453137,-12.288771,6.676362,-4.457143,0.9159757,10.818337,3.4965627,12.67669,-34.467003,60.848717,6.1885047,1.0189986,10.979187,0.8398488,-10.596001,29.972286,64.62306,-6.778287,-0.5373661,-14.446848
3,-0.0015271425945684314,2.715843439102173,78.30778503417969,0.32479793593010664,-6.854304329551446,-90.31030365898012,12.250385,6.609698,17.084074,7.3663836,-12.251829,-6.7130947,8.784131,-5.0408325,2.836885,10.428935,-12.271701,6.6640086,-4.476067,0.9374259,10.795615,3.4932375,12.702442,-34.464222,60.81298,6.2050357,1.04021,10.937297,0.98813057,-10.611917,29.790522,64.317215,-6.840956,-0.57359064,-14.472928
4,-0.004625288303941488,2.7170941829681396,78.30870056152344,0.29877293873229055,-6.765248122019512,-90.32467719177743,12.154202,6.644618,17.08448,7.3579645,-12.271698,-6.724848,8.685154,-5.001283,2.8443906,10.401736,-12.241013,6.643594,-4.4673815,0.9668021,10.752349,3.4695926,12.739369,-34.482372,60.761406,6.2146072,1.0455238,10.889894,1.1772366,-10.6431265,29.600668,63.993385,-6.840893,-0.65983754,-14.533191
5,-0.01094734575599432,2.71891188621521,78.31440734863281,0.2686956634179141,-6.637826360727416,-90.34622668115576,12.0146,6.68395,17.091791,7.347647,-12.2858095,-6.7312346,8.534617,-4.9535837,2.8634584,10.37865,-12.197985,6.6123614,-4.465591,1.0047898,10.673745,3.4400094,12.771361,-34.4915,60.707447,6.222014,1.0180777,10.834399,1.3828278,-10.676456,29.447495,63.675365,-6.7513695,-0.8021347,-14.649845
6,-0.017315225675702095,2.7329399585723877,78.3211898803711,0.23622947916442766,-6.482284285600327,-90.37279843080165,11.84317,6.72638,17.104256,7.336538,-12.296016,-6.733657,8.347509,-4.8998713,2.8908043,10.356415,-12.145018,6.5734367,-4.445107,1.0524365,10.578502,3.4024425,12.817273,-34.5201,60.63203,6.2200966,0.9688854,10.770302,1.6300387,-10.732799,29.288696,63.319035,-6.6055136,-0.98420566,-14.799307
7,-0.0225963294506073,2.7522377967834473,78.33030700683594,0.20375170595349115,-6.297868658555062,-90.40664323840905,11.638426,6.767945,17.12386,7.320704,-12.297236,-6.7332883,8.123944,-4.845482,2.9261487,10.328628,-12.080508,6.5309415,-4.4296165,1.0998406,10.465408,3.352367,12.858399,-34.52353,60.55144,6.2266912,0.9241194,10.7104025,1.8791013,-10.789249,29.170397,63.001915,-6.405624,-1.2066903,-14.965717
8,-0.025709202513098717,2.7719271183013916,78.34288787841797,0.17775428811840274,-6.082748560014987,-90.45048027954982,11.398829,6.803074,17.15356,7.2954125,-12.283708,-6.7309694,7.854592,-4.7966843,2.970524,10.30569,-12.011433,6.489484,-4.4070306,1.1419916,10.346419,3.281165,12.903365,-34.49771,60.449944,6.246757,0.9118113,10.663118,2.1370459,-10.857074,29.09109,62.734306,-6.1645937,-1.4694138,-15.122357
9,-0.025447063148021698,2.796764850616455,78.35408782958984,0.15633393541340918,-5.8275963684729515,-90.50935290634396,11.115962,6.8320603,17.197672,7.2560663,-12.253333,-6.726696,7.5313706,-4.753107,3.0279794,10.276951,-11.931066,6.446846,-4.3765073,1.1828188,10.2263365,3.2096217,12.970513,-34.419003,60.278923,6.2880654,0.9488972,10.625295,2.4187105,-10.970459,29.067678,62.482723,-5.8272586,-1.8104686,-15.254124
10,-0.028129983693361282,2.8312761783599854,78.36512756347656,0.137944981654734,-5.53630310014288,-90.58058097838236,10.793222,6.8570857,17.253649,7.2072153,-12.2099495,-6.7198505,7.158553,-4.7119927,3.0970008,10.246347,-11.840891,6.402939,-4.345689,1.2203487,10.090538,3.1243572,13.035063,-34.294926,60.08789,6.348234,1.0165873,10.59735,2.6977582,-11.090304,29.09698,62.288383,-5.409108,-2.2187498,-15.381317
11,-0.037734877318143845,2.872037887573242,78.38090515136719,0.12489810335149701,-5.228007434075348,-90.65431536383774,10.450827,6.875344,17.313295,7.1492677,-12.152338,-6.710727,6.7649155,-4.6770663,3.1683362,10.208537,-11.741485,6.3652,-4.322698,1.2522389,9.95503,3.0177548,13.101866,-34.158302,59.89369,6.411639,1.0916176,10.579104,2.9885602,-11.2178335,29.158325,62.13263,-5.0109606,-2.6148024,-15.511213
12,-0.04891151189804077,2.919658660888672,78.39701080322266,0.122124349846245,-4.921856752839847,-90.72124657077865,10.108003,6.883701,17.368877,7.0870805,-12.0827265,-6.699462,6.376261,-4.652232,3.2331927,10.163347,-11.635381,6.340364,-4.317682,1.274386,9.835704,2.8851497,13.177051,-34.03895,59.71113,6.463848,1.1507603,10.570386,3.302887,-11.352554,29.233461,62.000248,-4.7332716,-2.9186766,-15.654421
13,-0.06321489065885544,2.9658193588256836,78.4107437133789,0.1290758278725496,-4.618544673124424,-90.78388013010161,9.763804,6.8815317,17.424831,7.0244756,-12.001383,-6.686299,5.9892106,-4.639442,3.2940984,10.117464,-11.526124,6.3375306,-4.3284163,1.283691,9.734639,2.726791,13.265319,-33.945354,59.547504,6.485652,1.1867243,10.57531,3.641452,-11.492905,29.324463,61.885235,-4.6232195,-3.091971,-15.827247
14,-0.07645455002784729,3.020339250564575,78.42073822021484,0.16444112072277414,-4.303590324239799,-90.85075839454441,9.378291,6.857994,17.48553,7.017148,-11.939153,-6.6682057,5.45249,-4.648646,3.371729,10.351207,-11.559772,6.353822,-4.3436112,1.263462,9.637503,2.5475829,13.369128,-33.86427,59.38789,6.488261,1.2126334,10.5916395,4.0011396,-11.63839,29.435963,61.793396,-4.6205974,-3.1824102,-16.021126
15,-0.09482177346944809,3.073342800140381,78.42949676513672,0.23082873377805727,-3.982073288202258,-90.9136197717089,8.98091,6.799968,17.543436,7.0078244,-11.867742,-6.6443906,4.7325945,-4.6808424,3.4646246,10.955677,-11.786217,6.372466,-4.368112,1.2098001,9.545827,2.3488536,13.490661,-33.79143,59.212784,6.50387,1.2360505,10.609739,4.3859196,-11.790801,29.554066,61.729607,-4.6651263,-3.239284,-16.210562
16,-0.11456536501646042,3.1250662803649902,78.4393539428711,0.2892073005254418,-3.6682595180907422,-90.95414354329885,8.583301,6.7496347,17.576267,6.9990816,-11.790305,-6.619344,4.0653796,-4.7070465,3.534159,11.476182,-11.967077,6.37236,-4.4166927,1.1622778,9.4748335,2.1306648,13.630332,-33.723972,59.00206,6.563513,1.2646288,10.620395,4.7993274,-11.953758,29.663021,61.69705,-4.696743,-3.3126352,-16.368765
17,-0.14365127682685852,3.1866047382354736,78.4441146850586,0.34214845977379577,-3.36530149149478,-90.97020909097105,8.187963,6.7070203,17.580133,6.9919524,-11.708404,-6.5923343,3.440397,-4.7262144,3.5808165,11.945291,-12.122182,6.3455086,-4.490412,1.1204301,9.4251585,1.8960041,13.788513,-33.659855,58.74482,6.6907277,1.3101821,10.612332,5.2448683,-12.131178,29.770693,61.7025,-4.705946,-3.4263859,-16.492868
